geoid,name,B19013001,"B19013001, Error"
14000US36005000100,"Census Tract 1, Bronx, NY",,
14000US36005000200,"Census Tract 2, Bronx, NY",70867,25423
14000US36005000400,"Census Tract 4, Bronx, NY",98090,18180
14000US36005001600,"Census Tract 16, Bronx, NY",40033,9907
14000US36005001901,"Census Tract 19.01, Bronx, NY",55924,12028
14000US36005001902,"Census Tract 19.02, Bronx, NY",60804,12156
14000US36005001903,"Census Tract 19.03, Bronx, NY",,
14000US36005001904,"Census Tract 19.04, Bronx, NY",,
14000US36005002001,"Census Tract 20.01, Bronx, NY",20870,10614
14000US36005002002,"Census Tract 20.02, Bronx, NY",,
14000US36005002300,"Census Tract 23, Bronx, NY",22177,7257
14000US36005002400,"Census Tract 24, Bronx, NY",,
14000US36005002500,"Census Tract 25, Bronx, NY",25954,9864
14000US36005002701,"Census Tract 27.01, Bronx, NY",18686,3057
14000US36005002702,"Census Tract 27.02, Bronx, NY",14681,12224
14000US36005002800,"Census Tract 28, Bronx, NY",54321,10891
14000US36005003100,"Census Tract 31, Bronx, NY",34276,16573
14000US36005003300,"Census Tract 33, Bronx, NY",20129,12453
14000US36005003500,"Census Tract 35, Bronx, NY",30793,2860
14000US36005003700,"Census Tract 37, Bronx, NY",37321,30214
14000US36005003800,"Census Tract 38, Bronx, NY",83295,31789
14000US36005003900,"Census Tract 39, Bronx, NY",20049,9732
14000US36005004001,"Census Tract 40.01, Bronx, NY",64087,15215
14000US36005004100,"Census Tract 41, Bronx, NY",20551,6544
14000US36005004200,"Census Tract 42, Bronx, NY",57250,32071
14000US36005004300,"Census Tract 43, Bronx, NY",25534,7655
14000US36005004400,"Census Tract 44, Bronx, NY",15750,3188
14000US36005004600,"Census Tract 46, Bronx, NY",29145,11846
14000US36005004800,"Census Tract 48, Bronx, NY",33500,18974
14000US36005005001,"Census Tract 50.01, Bronx, NY",28353,4831
14000US36005005002,"Census Tract 50.02, Bronx, NY",34013,9630
14000US36005005100,"Census Tract 51, Bronx, NY",19731,2822
14000US36005005200,"Census Tract 52, Bronx, NY",21397,10292
14000US36005005300,"Census Tract 53, Bronx, NY",20449,4459
14000US36005005400,"Census Tract 54, Bronx, NY",45625,7008
14000US36005005600,"Census Tract 56, Bronx, NY",40341,18035
14000US36005005902,"Census Tract 59.02, Bronx, NY",44917,19979
14000US36005006000,"Census Tract 60, Bronx, NY",34239,8749
14000US36005006100,"Census Tract 61, Bronx, NY",60685,19980
14000US36005006200,"Census Tract 62, Bronx, NY",24769,9198
14000US36005006301,"Census Tract 63.01, Bronx, NY",50273,9427
14000US36005006302,"Census Tract 63.02, Bronx, NY",,
14000US36005006400,"Census Tract 64, Bronx, NY",35144,12605
14000US36005006500,"Census Tract 65, Bronx, NY",21962,5408
14000US36005006700,"Census Tract 67, Bronx, NY",15957,3536
14000US36005006800,"Census Tract 68, Bronx, NY",38125,17802
14000US36005006900,"Census Tract 69, Bronx, NY",32887,16998
14000US36005007000,"Census Tract 70, Bronx, NY",53014,16040
14000US36005007100,"Census Tract 71, Bronx, NY",43079,5858
14000US36005007200,"Census Tract 72, Bronx, NY",54097,13340
14000US36005007300,"Census Tract 73, Bronx, NY",25619,6243
14000US36005007400,"Census Tract 74, Bronx, NY",37352,10469
14000US36005007500,"Census Tract 75, Bronx, NY",30413,10065
14000US36005007600,"Census Tract 76, Bronx, NY",51625,16248
14000US36005007700,"Census Tract 77, Bronx, NY",48333,14767
14000US36005007800,"Census Tract 78, Bronx, NY",54615,10950
14000US36005007900,"Census Tract 79, Bronx, NY",22534,12954
