geoid,count,name,median_household_income,"B19013001, Error",COUNTY,CTLabel,TRACT,_merge
36081038302,14.0,,,,,,,left_only
36081016900,11.0,"Census Tract 169, Queens, NY",77027.0,15493.0,81.0,169.0,16900.0,both
36061007300,10.0,"Census Tract 73, New York, NY",142409.0,42874.0,61.0,73.0,7300.0,both
36081101002,9.0,"Census Tract 1010.02, Queens, NY",38395.0,32774.0,81.0,1010.02,101002.0,both
36081029100,8.0,"Census Tract 291, Queens, NY",58226.0,5107.0,81.0,291.0,29100.0,both
36047055500,7.0,"Census Tract 555, Kings, NY",174028.0,15786.0,47.0,555.0,55500.0,both
36081028100,6.0,"Census Tract 281, Queens, NY",67072.0,24726.0,81.0,281.0,28100.0,both
36061006500,6.0,"Census Tract 65, New York, NY",106561.0,13731.0,61.0,65.0,6500.0,both
36081027702,6.0,"Census Tract 277.02, Queens, NY",67171.0,15660.0,81.0,277.02,27702.0,both
36061001800,6.0,"Census Tract 18, New York, NY",71567.0,17487.0,61.0,18.0,1800.0,both
36061019100,6.0,"Census Tract 191, New York, NY",130625.0,20299.0,61.0,191.0,19100.0,both
36081028900,6.0,"Census Tract 289, Queens, NY",76424.0,16437.0,81.0,289.0,28900.0,both
36047020300,5.0,"Census Tract 203, Kings, NY",173125.0,46382.0,47.0,203.0,20300.0,both
36081028700,5.0,"Census Tract 287, Queens, NY",68213.0,11051.0,81.0,287.0,28700.0,both
36081028500,5.0,"Census Tract 285, Queens, NY",83212.0,26020.0,81.0,285.0,28500.0,both
36047016300,5.0,"Census Tract 163, Kings, NY",123819.0,16950.0,47.0,163.0,16300.0,both
36047012901,5.0,"Census Tract 129.01, Kings, NY",200762.0,24197.0,47.0,129.01,12901.0,both
36081027900,5.0,"Census Tract 279, Queens, NY",67381.0,15747.0,81.0,279.0,27900.0,both
36047013500,5.0,"Census Tract 135, Kings, NY",190781.0,39578.0,47.0,135.0,13500.0,both
36047055700,5.0,"Census Tract 557, Kings, NY",107410.0,37032.0,47.0,557.0,55700.0,both
36061000900,5.0,"Census Tract 9, New York, NY",208438.0,67056.0,61.0,9.0,900.0,both
36061016001,5.0,"Census Tract 160.01, New York, NY",250001.0,,61.0,160.01,16001.0,both
36061003001,5.0,"Census Tract 30.01, New York, NY",78935.0,21877.0,61.0,30.01,3001.0,both
36061003700,5.0,"Census Tract 37, New York, NY",211979.0,96997.0,61.0,37.0,3700.0,both
36061000700,4.0,"Census Tract 7, New York, NY",193276.0,24210.0,61.0,7.0,700.0,both
36047018300,4.0,"Census Tract 183, Kings, NY",158060.0,13773.0,47.0,183.0,18300.0,both
36061015700,4.0,"Census Tract 157, New York, NY",140734.0,21557.0,61.0,157.0,15700.0,both
36061006100,4.0,"Census Tract 61, New York, NY",244702.0,44485.0,61.0,61.0,6100.0,both
36081027500,4.0,"Census Tract 275, Queens, NY",47383.0,15951.0,81.0,275.0,27500.0,both
36061005900,4.0,"Census Tract 59, New York, NY",151031.0,26941.0,61.0,59.0,5900.0,both
36081027302,4.0,"Census Tract 273.02, Queens, NY",46860.0,19081.0,81.0,273.02,27302.0,both
36061005800,4.0,"Census Tract 58, New York, NY",138706.0,33556.0,61.0,58.0,5800.0,both
36061005000,4.0,"Census Tract 50, New York, NY",168125.0,42351.0,61.0,50.0,5000.0,both
36061003601,4.0,"Census Tract 36.01, New York, NY",44193.0,15883.0,61.0,36.01,3601.0,both
36081017101,4.0,,,,,,,left_only
36061003400,4.0,"Census Tract 34, New York, NY",92569.0,26554.0,61.0,34.0,3400.0,both
36061018700,4.0,"Census Tract 187, New York, NY",140970.0,33172.0,61.0,187.0,18700.0,both
36047019500,4.0,"Census Tract 195, Kings, NY",96106.0,22621.0,47.0,195.0,19500.0,both
36061016100,4.0,"Census Tract 161, New York, NY",119914.0,24237.0,61.0,161.0,16100.0,both
36047026700,4.0,"Census Tract 267, Kings, NY",96618.0,20673.0,47.0,267.0,26700.0,both
