wkt_geom	MEAN_X	MEAN_Y	object_id	lat	lon
Point (932357.50813676416873932 129799.67795068770647049)	932357.5081367642	129799.6779506877	1	40.52279	-74.1866524
Point (952222.48087393492460251 147937.07851964235305786)	952222.4808739349	147937.07851964235	384	40.57267	-74.1152858
Point (957307.78094421629793942 167722.35563442367129028)	957307.7809442163	167722.35563442367	480	40.62699	-74.0970596
Point (961974.16859200922772288 165665.95652055242680945)	961974.1685920092	165665.95652055243	501	40.62136	-74.0802422
Point (962028.83035567402839661 168307.75644618272781372)	962028.830355674	168307.75644618273	6	40.62861	-74.0800539
Point (962788.35316952562425286 167729.74289311468601227)	962788.3531695256	167729.7428931147	529	40.62703	-74.0773158
Point (963108.36248139292001724 167776.88464047759771347)	963108.3624813929	167776.8846404776	2	40.62716	-74.0761631
Point (963270.09468744695186615 171431.22526485100388527)	963270.0946874468	171431.225264851	499	40.63719	-74.0755918
Point (974931.65018646419048309 166815.33554652333259583)	974931.6501864642	166815.33554652333	3	40.62454	-74.0335682
Point (975254.32621434330940247 167850.74144814163446426)	975254.3262143433	167850.74144814163	8	40.62738	-74.0324072
Point (977255.1558740958571434 166337.79959214478731155)	977255.1558740959	166337.7995921448	9	40.62323	-74.0251976
Point (977337.73937034606933594 166603.98196659982204437)	977337.7393703461	166603.98196659982	9.999999999999998	40.62396	-74.0249004
Point (977420.87896784394979477 166869.78376439213752747)	977420.878967844	166869.78376439214	4	40.62469	-74.0246011
Point (977586.55268505215644836 167402.69132718443870544)	977586.5526850522	167402.69132718444	11	40.62616	-74.0240048
Point (977627.95516130328178406 171464.6964905634522438)	977627.9551613032	171464.69649056342	16	40.6373	-74.0238596
Point (977669.43982242792844772 167669.01133260130882263)	977669.4398224279	167669.0113326013	12	40.62689	-74.0237065
Point (977835.09729951620101929 168200.1059068962931633)	977835.0972995163	168200.1059068963	13	40.62834	-74.0231102
Point (977921.22425980865955353 168476.03727760165929794)	977921.2242598087	168476.03727760166	4.999999999999999	40.6291	-74.0228002
Point (978176.32857242971658707 169293.57698109745979309)	978176.3285724297	169293.57698109746	14.000000000000002	40.63135	-74.0218819
Point (978266.49555089324712753 169583.30097514390945435)	978266.4955508932	169583.3009751439	15	40.63214	-74.0215573
Point (979631.23347100615501404 185234.10366297513246536)	979631.2334710062	185234.10366297513	17	40.6751	-74.016651
Point (981166.22055851668119431 195609.50499218702316284)	981166.2205585166	195609.50499218702	70	40.70358	-74.0111219
