wkt_geom,MEAN_X,MEAN_Y,object_id,lat,lon,GEOID,STATE,COUNTY,TRACT,BLOCK
Point (932357.50813676416873932 129799.67795068770647049),932357.5081367642,129799.67795068769,1.0,40.52279,-74.18665240000001,360850198004041,36,085,019800,4041
Point (952222.48087393492460251 147937.07851964235305786),952222.4808739348,147937.07851964235,384.0,40.57267,-74.1152858,360850134001007,36,085,013400,1007
Point (957307.78094421629793942 167722.35563442367129028),957307.7809442164,167722.35563442367,480.0,40.62699,-74.0970596,360850059021000,36,085,005902,1000
Point (961974.16859200922772288 165665.95652055242680945),961974.1685920092,165665.95652055246,501.0,40.621359999999996,-74.0802422,360850029002000,36,085,002900,2000
Point (962028.83035567402839661 168307.75644618272781372),962028.830355674,168307.75644618273,6.0,40.628609999999995,-74.08005390000001,360850033002000,36,085,003300,2000
Point (962788.35316952562425286 167729.74289311468601227),962788.3531695256,167729.74289311472,529.0,40.62703,-74.0773158,360850021003007,36,085,002100,3007
Point (963108.36248139292001724 167776.88464047759771347),963108.3624813928,167776.8846404776,2.0,40.627159999999996,-74.07616309999999,360850021002025,36,085,002100,2025
Point (963270.09468744695186615 171431.22526485100388527),963270.0946874468,171431.225264851,499.0,40.637190000000004,-74.0755918,360850021002003,36,085,002100,2003
Point (974931.65018646419048309 166815.33554652333259583),974931.6501864642,166815.33554652333,3.0,40.62454,-74.0335682,360470050003001,36,047,005000,3001
Point (975254.32621434330940247 167850.74144814163446426),975254.3262143431,167850.74144814163,8.0,40.62738,-74.03240720000001,360470046001002,36,047,004600,1002
Point (977255.1558740958571434 166337.79959214478731155),977255.155874096,166337.79959214482,9.0,40.62323,-74.02519759999998,360470138002001,36,047,013800,2001
Point (977337.73937034606933594 166603.98196659982204437),977337.739370346,166603.98196659982,9.999999999999998,40.62396,-74.0249004,360470138002000,36,047,013800,2000
Point (977420.87896784394979477 166869.78376439213752747),977420.8789678441,166869.78376439214,4.0,40.62469,-74.0246011,360470138001001,36,047,013800,1001
Point (977586.55268505215644836 167402.69132718443870544),977586.5526850522,167402.69132718444,11.0,40.62616,-74.0240048,360470136003001,36,047,013600,3001
Point (977627.95516130328178406 171464.6964905634522438),977627.9551613032,171464.69649056342,16.0,40.6373,-74.0238596,360470070001007,36,047,007000,1007
Point (977669.43982242792844772 167669.01133260130882263),977669.4398224279,167669.0113326013,12.0,40.62689,-74.02370649999999,360470136003000,36,047,013600,3000
Point (977835.09729951620101929 168200.1059068962931633),977835.0972995164,168200.10590689632,13.0,40.62834,-74.0231102,360470136004000,36,047,013600,4000
Point (977921.22425980865955353 168476.03727760165929794),977921.2242598088,168476.03727760163,4.999999999999999,40.6291,-74.02280019999999,360470134002002,36,047,013400,2002
Point (978176.32857242971658707 169293.57698109745979309),978176.3285724295,169293.57698109743,14.000000000000002,40.63135,-74.0218819,360470130003000,36,047,013000,3000
Point (978266.49555089324712753 169583.30097514390945435),978266.4955508931,169583.3009751439,15.0,40.63214,-74.0215573,360470130004002,36,047,013000,4002
Point (979631.23347100615501404 185234.10366297513246536),979631.2334710063,185234.10366297516,17.0,40.6751,-74.016651,360470053012007,36,047,005301,2007
Point (981166.22055851668119431 195609.50499218702316284),981166.2205585166,195609.50499218702,70.0,40.70358,-74.0111219,360610009001011,36,061,000900,1011
Point (981318.81375726312398911 195674.70794577151536942),981318.8137572631,195674.7079457715,71.0,40.703759999999996,-74.01057159999999,360610009001011,36,061,000900,1011
Point (981332.71306236088275909 196981.39819108447409235),981332.7130623608,196981.3981910845,524.0,40.70734,-74.010522,360610007001002,36,061,000700,1002
Point (981374.08156375586986542 195885.29732846716069616),981374.0815637558,195885.2973284672,37.0,40.70434,-74.01037240000001,360610009001011,36,061,000900,1011
Point (981472.07444155961275101 200340.58066780865192413),981472.0744415595,200340.58066780862,147.0,40.71656,-74.0100207,360610039003010,36,061,003900,3010
Point (981483.79062546789646149 195826.40383660048246384),981483.790625468,195826.40383660048,36.0,40.70417,-74.0099767,360610009001013,36,061,000900,1013
Point (981502.48136892914772034 196006.49058272689580917),981502.4813689293,196006.49058272692,72.0,40.70467,-74.0099093,360610009001007,36,061,000900,1007
Point (981598.26841488480567932 200743.91647530347108841),981598.2684148848,200743.91647530347,146.0,40.71767,-74.0095657,360610039003007,36,061,003900,3007
Point (981704.93191546946763992 196018.95446855574846268),981704.9319154696,196018.95446855575,73.0,40.7047,-74.0091791,360610007006000,36,061,000700,6000
Point (981824.87557321786880493 200412.47340460121631622),981824.875573218,200412.47340460122,229.0,40.71676,-74.00874809999999,360610033002018,36,061,003300,2018
Point (981867.96751458942890167 206339.39314522594213486),981867.9675145894,206339.39314522594,148.0,40.73303,-74.0085947,360610075001007,36,061,007500,1007
Point (981911.24553390091750771 196179.69960857182741165),981911.2455339008,196179.69960857183,38.0,40.70514,-74.00843509999999,360610007006001,36,061,000700,6001
Point (981950.04182551056146622 176851.28299427032470703),981950.0418255107,176851.28299427032,446.0,40.65209,-74.0082887,360470082003001,36,047,008200,3001
Point (981956.05313238501548767 198368.66564839085913263),981956.053132385,198368.66564839086,537.0,40.71115,-74.0082742,360610015011009,36,061,001501,1009
Point (982037.65090226382017136 196310.92255260050296783),982037.6509022637,196310.9225526005,39.0,40.7055,-74.00797920000001,360610007005000,36,061,000700,5000
Point (982042.40154892951250076 204554.41443172842264175),982042.4015489295,204554.4144317284,230.0,40.72813,-74.0079647,360610037001000,36,061,003700,1000
Point (982151.79437475651502609 198203.88169318437576294),982151.7943747564,198203.88169318435,39.99999999999999,40.7107,-74.0075681,360610015011010,36,061,001501,1010
Point (982240.39475530385971069 208659.31517859548330307),982240.3947553036,208659.31517859545,233.0,40.7394,-74.00725159999999,360610079001012,36,061,007900,1012
Point (982271.94816988706588745 208868.57509472221136093),982271.9481698872,208868.57509472218,234.0,40.73997,-74.00713780000001,360610079001011,36,061,007900,1011
Point (982400.33866113424301147 209100.85793068259954453),982400.3386611344,209100.85793068263,153.0,40.74061,-74.0066745,360610079001000,36,061,007900,1000
Point (982545.76340309530496597 206112.39064647257328033),982545.7634030952,206112.39064647254,231.0,40.732409999999994,-74.006149,360610073003001,36,061,007300,3001
Point (982689.67387643456459045 206116.42279063910245895),982689.6738764346,206116.4227906391,232.0,40.73242,-74.0056297,360610073003001,36,061,007300,3001
Point (982788.74027934670448303 203404.99579881131649017),982788.7402793468,203404.9957988113,235.0,40.72498,-74.00527170000001,360610037003006,36,061,003700,3006
