,TRACT
38302,14
16900,12
7300,10
101002,9
29100,9
19500,8
4300,8
19100,7
55500,7
13100,7
3700,7
6500,7
6300,7
900,6
26700,6
27702,6
28100,6
1800,6
28900,6
18300,6
12901,6
15700,6
1600,5
3001,5
13500,5
28700,5
27900,5
16300,5
55700,5
16001,5
28300,5
28500,5
55100,5
20300,5
2100,5
5900,5
700,5
5000,5
52000,4
59100,4
4100,4
17101,4
3400,4
20102,4
1100,4
16100,4
13800,4
12500,4
3200,4
3300,4
5800,4
1501,4
112300,4
18700,4
7100,4
6100,4
3601,4
27302,4
27500,4
301,3
20500,3
7900,3
15302,3
14402,3
13300,3
14200,3
54900,3
51900,3
4800,3
5502,3
11300,3
59300,3
13900,3
89800,3
4900,3
12700,3
6700,3
13600,3
24301,3
103202,3
52600,2
39100,2
36100,2
64102,2
3900,2
37504,2
24500,2
19702,2
15002,2
27300,2
25700,2
14401,2
37700,2
49700,2
26500,2
13400,2
13000,2
20700,2
9903,2
5600,2
7700,2
2602,2
7800,2
4500,2
3800,2
14902,2
8400,2
15900,2
8900,2
600,2
7400,2
502,2
5200,1
15300,1
23703,1
8200,1
115200,1
43700,1
3500,1
70000,1
20900,1
7600,1
43100,1
2500,1
44902,1
24400,1
91000,1
14102,1
4600,1
37501,1
2902,1
35200,1
125700,1
116700,1
104700,1
77300,1
5902,1
8100,1
41100,1
45700,1
37300,1
63302,1
14300,1
100,1
27102,1
2900,1
9401,1
38900,1
1300,1
29800,1
9900,1
6301,1
1901,1
57300,1
49800,1
55200,1
9600,1
15500,1
5301,1
21900,1
2800,1
16500,1
14000,1
23100,1
30500,1
16700,1
51800,1
17900,1
76800,1
19900,1
7500,1
18100,1
50401,1
52900,1
16600,1
29500,1
15402,1
38500,1
8300,1
19200,1
45300,1
19901,1
21400,1
44901,1
7000,1
6800,1
202,1
18000,1
17200,1
6400,1
17000,1
2601,1
24700,1
34100,1
13604,1
20000,1
19800,1
